Country,Latitude,Longitude,TotalCases
Andorra,42.5,1.5,944.0
United Arab Emirates,24.0,54.0,
Afghanistan,33.0,65.0,36896.0
Antigua and Barbuda,17.05,-61.8,92.0
Anguilla,18.25,-63.17,
Albania,41.0,20.0,6016.0
Armenia,40.0,45.0,39819.0
Angola,-12.5,18.5,1483.0
Argentina,-34.0,-64.0,228195.0
American Samoa,-14.33,-170.0,
Austria,47.33,13.33,21696.0
Australia,-27.0,133.0,19890.0
Aruba,12.5,-69.97,263.0
Azerbaijan,40.5,47.5,33247.0
Bosnia and Herzegovina,44.0,18.0,13396.0
Barbados,13.17,-59.53,133.0
Bangladesh,24.0,90.0,249651.0
Belgium,50.83,4.0,71158.0
Burkina Faso,13.0,-2.0,1158.0
Bulgaria,43.0,25.0,13014.0
Bahrain,26.0,50.55,42889.0
Burundi,-3.5,30.0,395.0
Benin,9.5,2.25,1936.0
Bermuda,32.33,-64.75,157.0
Brunei Darussalam,4.5,114.67,
Brazil,-10.0,-55.0,2917562.0
Bahamas,24.25,-76.0,761.0
Bhutan,27.5,90.5,105.0
Botswana,-22.0,24.0,804.0
Belarus,53.0,28.0,68503.0
Belize,17.25,-88.75,86.0
Canada,60.0,-95.0,118561.0
Central African Republic,7.0,21.0,
Congo,-1.0,15.0,3546.0
Switzerland,47.0,8.0,36108.0
Cook Islands,-21.23,-159.77,
Chile,-30.0,-71.0,366671.0
Cameroon,6.0,12.0,17718.0
China,35.0,105.0,
Colombia,4.0,-72.0,357710.0
Costa Rica,10.0,-84.0,21070.0
Cuba,21.5,-80.0,2775.0
Cyprus,35.0,33.0,1208.0
Germany,51.0,9.0,215210.0
Djibouti,11.5,43.0,5330.0
Denmark,56.0,10.0,14306.0
Dominica,15.42,-61.33,18.0
Dominican Republic,19.0,-70.67,76536.0
Algeria,28.0,3.0,33626.0
Ecuador,-2.0,-77.5,90537.0
Estonia,59.0,26.0,2124.0
Egypt,27.0,30.0,95006.0
Western Sahara,24.5,-13.0,10.0
Eritrea,15.0,39.0,282.0
Spain,40.0,-4.0,354530.0
Ethiopia,8.0,38.0,20900.0
Finland,64.0,26.0,7532.0
Fiji,-18.0,175.0,27.0
Falkland Islands (Malvinas),-51.75,-59.0,
Faroe Islands,62.0,-7.0,
France,46.0,2.0,195633.0
Gabon,-1.0,11.75,7787.0
United Kingdom,54.0,-2.0,
Grenada,12.12,-61.67,24.0
Georgia,42.0,43.5,1206.0
French Guiana,4.0,-53.0,8127.0
Ghana,8.0,-2.0,39642.0
Gibraltar,36.18,-5.37,190.0
Greenland,72.0,-40.0,14.0
Gambia,13.47,-16.57,935.0
Guinea,11.0,-10.0,7664.0
Guadeloupe,16.25,-61.58,279.0
Equatorial Guinea,2.0,10.0,4821.0
Greece,39.0,22.0,5123.0
Guatemala,15.5,-90.25,54339.0
Guam,13.47,144.78,
Guinea-Bissau,12.0,-15.0,2032.0
Guyana,5.0,-59.0,538.0
Honduras,15.0,-86.5,45098.0
Croatia,45.17,15.5,5404.0
Haiti,19.0,-72.42,7544.0
Hungary,47.0,20.0,4597.0
Indonesia,-5.0,120.0,118753.0
Ireland,53.0,-8.0,26372.0
Israel,31.5,34.75,79559.0
India,20.0,77.0,2025409.0
